,alpha_power_1,alpha_power_2,alpha_power_3,alpha_power_4,alpha_power_5,alpha_power_6,alpha_power_7,alpha_power_8,beta_power_1,beta_power_2,beta_power_3,beta_power_4,beta_power_5,beta_power_6,beta_power_7,beta_power_8,gamma_power_1,gamma_power_2,gamma_power_3,gamma_power_4,gamma_power_5,gamma_power_6,gamma_power_7,gamma_power_8,theta_power_1,theta_power_2,theta_power_3,theta_power_4,theta_power_5,theta_power_6,theta_power_7,theta_power_8,label
0,0.014489126,0.025695884,0.027005339,0.027566786,0.028871647,0.033105732,0.018433144,0.010126527,0.031923672,0.025828642,0.024851918,0.100292398,0.109901177,0.126057214,0.052395473,0.011587875,0.089976074,0.066047828,0.056228788,0.365592196,0.405071395,0.455624137,0.170956766,0.007071879,0.029616489,0.086228498,0.087619606,0.029069357,0.027949832,0.032639352,0.028987538,0.026645581,normal
1,0.014597959,0.018953731,0.022765549,0.009362836,0.013367368,0.012808339,0.013381576,0.010975761,0.026224688,0.026678173,0.028356671,0.014230155,0.025444695,0.021915986,0.025987343,0.013766254,0.059496637,0.019382161,0.048585676,0.031389278,0.059371061,0.044939317,0.061660787,0.013484606,0.033467644,0.084614443,0.077264913,0.026162341,0.030362159,0.030322209,0.030346637,0.029336235,normal
2,0.028303948,0.030117,0.030203982,0.069510544,0.043300795,0.039130535,0.052190541,0.040584125,0.015347473,0.012855059,0.012620735,0.120196978,0.128089623,0.033499131,0.146705508,0.084222255,0.030612234,0.031753196,0.025889402,0.118592382,0.269477466,0.101432805,0.197074026,0.082461333,0.144785232,0.158228099,0.159844335,0.068771987,0.045400819,0.138430171,0.04097872,0.058124294,normal
3,0.012018143,0.011793302,0.011881311,0.012022984,0.012013098,0.01200658,0.012542253,0.012346795,0.013489563,0.012838571,0.013238402,0.013395671,0.013390173,0.013370326,0.016319782,0.015156323,0.007740893,0.036888121,0.036968892,0.007151874,0.007178685,0.007211171,0.019219738,0.014074168,0.032745152,0.033381846,0.033861946,0.03273036,0.032719663,0.032739902,0.032649006,0.032565203,normal
4,0.012216699,0.012247808,0.012259112,0.012160016,0.012168079,0.012158897,0.012174029,0.012265718,0.013572417,0.013644686,0.013663177,0.013563999,0.013558263,0.013536472,0.013530412,0.013811532,0.007138301,0.007151468,0.007157004,0.007160469,0.007152643,0.007148233,0.007155291,0.00716841,0.033145356,0.033401128,0.033326191,0.033285066,0.03326617,0.033250537,0.03326025,0.033241134,normal
5,0.001474642,0.007285277,0.007940255,0.059730431,0.031835064,0.02859763,0.037755268,0.017519403,0.002548606,0.007242307,0.008559529,0.089864729,0.075889342,0.049098287,0.086031156,0.040274642,0.008571139,0.158077679,0.121053438,0.082457718,0.131237051,0.115780628,0.124022122,0.045526228,0.004049726,0.024593243,0.027891208,0.054461799,0.032909551,0.040858281,0.042733935,0.032497347,normal
6,0.017123219,0.025200917,0.024721016,0.008764352,0.028208942,0.023234125,0.030996671,0.016844191,0.016644028,0.021057971,0.02084272,0.010075119,0.079799639,0.032799975,0.097967431,0.033136133,0.045943881,0.070509322,0.067360963,0.014738658,0.196964802,0.079064453,0.163806367,0.048993259,0.085090664,0.136234132,0.135242958,0.019851049,0.03910736,0.094910284,0.038343488,0.037373232,normal
7,0.009933507,0.048403356,0.051015841,0.043535634,0.032726158,0.033018087,0.033348652,0.026381143,0.015421721,0.039040711,0.039049008,0.08618631,0.111937891,0.069938596,0.113580316,0.059587849,0.040097574,0.322496006,0.288198785,0.129446359,0.304406409,0.168436781,0.207815173,0.095026265,0.02119613,0.13125387,0.138561232,0.053675975,0.039933321,0.058020448,0.042250205,0.056418794,normal
8,0.01544907,0.009344751,0.009795251,0.067058478,0.04096396,0.044243386,0.046899868,0.038078279,0.036883156,0.025003917,0.025486546,0.099976115,0.135991447,0.075383754,0.138118224,0.075425068,0.093929363,0.492616838,0.450082185,0.120771891,0.331917359,0.18767534,0.209003495,0.08669119,0.026254536,0.040386933,0.044753512,0.059791484,0.036268149,0.0551479,0.045222864,0.068594308,normal
9,0.033018262,0.053022042,0.043345602,0.005961821,0.03541332,0.012382757,0.036013871,0.031162358,0.061600573,0.051543699,0.078634536,0.008323728,0.143437797,0.013757233,0.147677858,0.111817367,0.15862783,0.042370828,0.074019807,0.028697015,0.536878431,0.007300734,0.557327842,0.386499819,0.075846497,0.173813428,0.155250166,0.022514756,0.029344411,0.033555986,0.028288088,0.030454249,normal
